Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Open Access,Source
"Rojas M., Mac-Lean C., Morales J., Monares A., Fustos R.","Climate change education and literacy at the Faculty of Physical and Mathematical Sciences of the University of Chile",2017,"International Journal of Global Warming","12","3-4",,"347","365",,4,"10.1504/IJGW.2017.084785","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022324416&doi=10.1504%2fIJGW.2017.084785&partnerID=40&md5=55eb83e28b07deb9293d19b92b4ce3f1","Considering the role that higher education institutions (HEIs) play in terms of catalysing change within societies, over the past years, sustainability initiatives within HEIs have flourished worldwide. Likewise, the scientific evidence of anthropogenic climate change has been on the political and academic agenda for decades, thus, the importance of ameliorating climate change education and literacy both at the society and university training levels. Accordingly, certain questions arise: What are the most effective current climate change educational methodologies? Which road map would be the most appropriate to be suggested to HEIs to promote climate change literacy for future professionals? In order to begin addressing these questions, the Faculty of Mathematical and Physical Sciences of the University of Chile (FCFM) approach to climate change teaching and literacy is herein described. The later contemplates the history of the institutionalisation of sustainability at the FCFM, collection of courses and minors for students which incorporate climate change related-topics, as well as climate change related research centres. © Copyright 2017 Inderscience Enterprises Ltd.","Climate change; Education; Engineering; Global warming; Literacy; Sciences; Sustainability",,Article,"",Scopus
"Dancz C.L.A., Ketchman K.J., Burke R.D., Hottle T.A., Parrish K., Bilec M.M., Landis A.E.","Utilizing civil engineering senior design capstone projects to evaluate students' sustainability education across engineering curriculum",2017,"Advances in Engineering Education","6","2",,"","",27,11,"10.18260/3-1-370.620-31325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032860808&doi=10.18260%2f3-1-370.620-31325&partnerID=40&md5=d658e79fcc27132915f5dcd54f477c46","While many institutions express interest in integrating sustainability into their civil engineering curriculum, the engineering community lacks consensus on established methods for infusing sustainability into curriculum and verified approaches to assess engineers' sustainability knowledge. This paper presents the development of a sustainability rubric and application of the rubric to civil engineering senior design capstone projects to evaluate students' sustainability knowledge at two institutions. The rubric built upon previous assessment approaches to evaluate student reports for nine different factors including dimensions of sustainability, Bloom's taxonomy, sustainability links, drivers for including sustainability, location of sustainability within report, qualitative/quantitative incorporation, sustainability source/reference, and sustainability topics. The sustainability content within Spring 2014, Fall 2014, and Spring 2015 senior design capstone projects from university A (UA, n = 181 students, np = 28 projects) and university B (UB, n = 106 students, np = 15 projects) was evaluated using a mixed-methods approach. The mixed-methods assessment included observation of student project presentations and evaluation of student reports via rubric. Rubric evaluation of student reports revealed that students' performance in senior design projects is primarily driven by their instructor's expectations; if sustainability is not a major deliverable, then students are less likely to integrate sustainability concepts that they learned from prior classes in their reports. To make sustainability a priority, senior design project requirements should be updated to explicitly require holistic sustainability applications. Instructors could approach raising sustainability expectations by engaging a sustainability expert as an advisor to the senior design course and/or utilizing a sustainability expert as project mentor, as demonstrated in the success of one senior design project at each institution during this study.","Capstone design; Mixed methods; Sustainability","Curricula; Engineering education; Students; Capstone design; Civil engineering curricula; Engineering curriculum; Holistic sustainability; Integrate sustainability; Mixed method; Sustainability education; Sustainability knowledge; Sustainable development",Article,"All Open Access, Gold",Scopus
"Damaj I., Kranov A.A.","Sustainable practices in technical education: A quality assurance framework",2017,"International Journal of Engineering Education","33","5",,"1627","1642",,16,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028586009&partnerID=40&md5=a3771096822871f8c524d69211858949","The term susta in ability means using methods, systemsand materialstomeet the needs of the present without compromising the future. Even with the prevalence ofthe term and its wide use across disciplines, there has been little effortto formulate a quality measurement framework in tertiary education based on the values and characteristics of sustainability. The framework that we present here is the Sustainability of Technical Education (SoTE), where sustainability is defined as the ability to continuously improve without reducing the capacity to endure. The SoTE consists of criteria, measures, indicators, and a set ofaligned analytic rubrics that aid the calculation of different indicators includinga one main indicator called the Sustainability Indicator. In this paper, we present the need for a focus on sustainability in higher education for continuous improvement and fiscal purposes, present the SoTE criteria and indicators, and present the results and analysis of a pilot study conducted at a private, non-profit university in the Gulf Cooperation Council (GCC) Region. The paper concludes with a discussion of the usefulness of the SoTE for continuous improvement and for collecting and providing evidence for quality assurance and accreditation organizations at programmatic and institutional levels.","Accreditation; Philosophy of engineering education; Sustainability; Technical Education","Accreditation; Engineering education; Quality assurance; Technical presentations; Sustainable development; Sustainable development goals; Continuous improvements; Criteria and indicators; Gulf Cooperation Council; Philosophy of engineerings; Quality measurements; Sustainability indicators; Sustainable practices; Technical educations; High educations; Philosophy of engineering education; Tertiary education; Sustainable development; Accreditation",Conference Paper,"",Scopus
"Kosonen H., Kim A.","Rainwater system to concrete laboratory - An interdisciplinary approach to sustainability education",2017,"6th CSCE-CRC International Construction Specialty Conference 2017 - Held as Part of the Canadian Society for Civil Engineering Annual Conference and General Meeting 2017","2",,,"1226","1227",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064970897&partnerID=40&md5=c47761f848c86895e2945b4fe4ef6382","Rainwater collection is an environmentally sustainable way to reduce the demand on public water supplies and to mitigate the impacts of storm water runoff. While untreated and treated rainwater is used for a number of purposes ranging from garden irrigation to toilet flushing, a more extensive use of rainwater resources is currently hindered by the lack of uniform regulations. Considering that many regions suffer from droughts and that water scarcity is becoming one of the main environmental issues in the United States, a change in regulations, as well as in sustainable water design practices, is needed. University of Washington's (UW) Civil and Environmental Engineering (CEE) department is aiming to facilitate this change by educating a new generation of engineers to become familiar with the economic and ecological advantages of rainwater harvesting, know how to design and operate rainwater treatment systems and have a holistic understanding of sustainable water management practices in urban areas. In spring 2015, the UW Campus Sustainability Fund (CSF) grant awarded the construction of a rainwater collection and purification system in and adjacent to the construction materials laboratory space in the CEE department. The goal of the project was to provide the laboratory with a supplementary source of water for various uses, and serve as a campus wide educational tool for innovative, sustainable water management practices. The student-designed and built rainwater collection & purification system was brought online in March 2017. This presentation summarizes the lessons learned from implementing the interdisciplinary student project and discusses the experience from both students' and project lead's perspective. © CSCE-CRC International Construction Specialty Conference 2017 - Held as Part of the Canadian Society for Civil Engineering Annual Conference and General Meeting 2017.All rights reserved.",,"Environmental regulations; Purification; Students; Technology transfer; Water conservation; Water management; Water supply; Campus sustainability; Environmental issues; Interdisciplinary student projects; Rain water harvesting; Rainwater collections; Sustainability education; Sustainable water management; University of Washington; Sustainable development",Conference Paper,"",Scopus
"Guerra A.","Integration of sustainability in engineering education: Why is PBL an answer?",2017,"International Journal of Sustainability in Higher Education","18","3",,"436","454",,149,"10.1108/IJSHE-02-2016-0022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011975981&doi=10.1108%2fIJSHE-02-2016-0022&partnerID=40&md5=fa176569ee7e29ccb1c9b14d202c2c5b","Purpose: Education for sustainable development (ESD) is one of the challenges engineering education currently faces. Engineering education needs to revise and change its curriculum to integrate ESD principles and knowledge. Problem based learning (PBL) has been one of the main learning pedagogies used to integrate sustainability in engineering education. However, there is a lack of understanding of the relation between ESD and PBL principles and the ways in which they can be integrated and practised in the engineering curricula. This paper aims to investigate the relation between PBL and ESD and the ways in which they are integrated and practised in the engineering curricula. Design/methodology/approach: The study starts with a review of the literature concerning ESD and PBL theories where relations between both are defined. The literature review is followed by an empirical work in which the PBL and ESD relations are investigated in relation to the PBL engineering curricula. The empirical work involves two engineering master programmes from Aalborg University, Denmark, while documentary analysis and interviews are used as methods for data collection. Findings: The results show that even though PBL and ESD share common learning principles, their practice presents limitations that challenge the full integration of sustainability, namely, the crowded, strict and academic-centred curriculum, the struggle to balance different contexts with professional, interdisciplinary and collaborative knowledge and the tacit presence of sustainability. Originality/value: The existence of a PBL curriculum at institutional level, such as at Aalborg University, enables investigation of how the PBL and ESD principles are practised, highlighting the limitations and potentials of integrating sustainability in the engineering curriculum. © 2017, © Emerald Publishing Limited.","Curriculum change; Education for sustainable development; Engineering education; Learning principles and competencies; Problem based learning",,Article,"",Scopus
"Johan K., Turan F.M.","The development of Sustainability Graduate Community (SGC) as a learning pathway for sustainability education - A framework for engineering programmes in Malaysia Technical Universities Network (MTUN)",2016,"IOP Conference Series: Materials Science and Engineering","160","1","012074","","",,3,"10.1088/1757-899X/160/1/012074","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012288933&doi=10.1088%2f1757-899X%2f160%2f1%2f012074&partnerID=40&md5=78cc4c2a6e1c096bf044fb8bc0f3ecd4","'Environmental and sustainability' is one of the Program Outcome (PO) designated by the Board of Engineers Malaysia (BEM) as one of the accreditation program requirement. However, to-date the implementation of sustainability elements in engineering programme in the technical universities in Malaysia is within individual faculty's curriculum plan and lack of university-level structured learning pathway, which enable all students to have access to an education in sustainability across all disciplines. Sustainability Graduate Community (SGC) is a framework designed to provide a learning pathway in the curriculum of engineering programs to inculcate sustainability education among engineering graduates. This paper aims to study the required attributes in Sustainability Graduate Community (SGC) framework to produce graduates who are not just engineers but also skilful in sustainability competencies using Global Project Management (GPM) P5 Standard for Sustainability. The development of the conceptual framework is to provide a constructive teaching and learning plan for educators and policy makers to work on together in developing the Sustainability Graduates (SG), the new kind of graduates from Malaysia Technical Universities Network (MTUN) in Malaysia who are literate in sustainability practices. The framework also support the call for developing holistic students based on Malaysian Education Blueprint (Higher Education) and address the gap between the statuses of engineering qualification to the expected competencies from industries in Malaysia in particular by achieving the SG attributes outlined in the framework. © Published under licence by IOP Publishing Ltd.",,"Curricula; Education; Engineering education; Engineering research; Project management; Societies and institutions; Students; Teaching; Accreditation programs; Conceptual frameworks; Engineering graduates; Engineering programmes; Global project managements; Sustainability education; Sustainability practices; Technical universities; Sustainable development",Conference Paper,"All Open Access, Bronze",Scopus
"Bielefeldt A.R., Canney N.E., Swan C., Knight D.","Efficacy of macroethics education in engineering",2016,"ASEE Annual Conference and Exposition, Conference Proceedings","2016-June",,,"","",,33,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983337867&partnerID=40&md5=c10a55bec8358dc674978e914f970919","There is a need for engineering education to prepare students to address macroethical issues. Macroethics refers to the broader ethical obligations of the profession such as those embodied by social responsibility and sustainability. The extent to which students graduate with an understanding of macroethical issues is unclear and in need of organization. The goal of this new research project is to evaluate the various ways in which macroethics is taught in engineering, examining variations in pedagogy and topics, as well as examining differences between disciplines and institution types. This paper describes the first phase of the research, to develop surveys that will reveal a national picture of engineering macroethics instruction. Survey development began based on a review of the literature. One survey was targeted to deans and department chairs, aimed at identifying the names of faculty at their institutions who are involved in ethics instruction. A second survey was aimed at faculty who teach macroethical topics in courses for engineering students. A third survey was aimed at faculty who mentor co-curricular activities where students may learn about or engage with macroethical issues. Pilot versions of the three surveys were distributed to selected faculty at three institutions: a large public research-intensive university, a private research-intensive university, and a Christian-affiliated, private Baccalaureate university. Approximately 30 responses indicated a breadth of courses where faculty infused a wide variety of macroethical topics. It also revealed the challenges associated with encouraging faculty to respond to surveys. A handful of faculty participated in follow-up interviews, giving feedback to help improve the surveys. The surveys were revised, with national dissemination in spring 2016. The dissemination plan includes ASEE list serves and a targeted list of individuals who have publications and have received grants related to macroethics education. Some national survey results should be available in time for the poster in June 2016. © American Society for Engineering Education, 2016.",,,Conference Paper,"",Scopus
"Zhang J., Schmidt K., Li H.","BIM and sustainability education: Incorporating instructional needs into curriculum planning in CEM programs accredited by ACCE",2016,"Sustainability (Switzerland)","8","6","525","","",,41,"10.3390/su8060525","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976291131&doi=10.3390%2fsu8060525&partnerID=40&md5=4cb482399c2ff3707e633fed92740d2b","Higher education ought to support the identification of training needs for industrial building information modelling (BIM) curriculum development and sustainability education in the fields of civil engineering and management (CEM). This paper proposes a framework based on a four-phase step-by-step quality function deployment (QFD) application for CEM curriculum planning and quality management. The framework attempts to respond to requests collected from 17 professionals and professors in order to integrate BIM into the higher education curriculum in China with a specific focus on construction management programs accredited by the American Council for Construction Education (ACCE). The entropy method and a K1-K6 scale adapted from Bloom's revised cognitive process were employed to evaluate the CEM curriculum in QFD. The proposed framework was successfully applied to CEM curriculum planning, which included two curriculums of the four main knowledge areas provided by the Chinese CEM guidelines: construction cost and flow construction. Two curriculum areas showed that content should focus on knowledge such as (a) Program evaluation and review technique(PERT) planning; (b) construction optimization in flow construction; (c) principles of bill of quantities and (d) construction consumption in construction costs. As for teaching quality management in China, the higher education curriculum should focus on three aspects to promote curriculum integration: (a) pedagogical design; (b) teaching resource and material and (c) curriculum assessment. This research sheds light on the pedagogical shift to a similar context that has established guidelines accredited by the ACCE, with respect to reviewing curriculum planning from a knowledge system perspective in order to meet industrial demands at the operational level. © 2016 by the authors.","BIM capability; Building information modelling (BIM); Civil engineering and management (CEM); Curriculum planning; Education for sustainability; Entropy method; Quality function deployment (QFD)","building; civil engineering; construction; curriculum; geography education; information system; optimization; probability density function; quality control; sustainability; China",Article,"All Open Access, Gold, Green",Scopus
"Jensen C.D.","Action research to support development of engineering for sustainable development degree programs, part I: Collaborative community action research vignettes",2016,"Journal of Cleaner Production","122",,,"164","175",,13,"10.1016/j.jclepro.2015.09.088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962802862&doi=10.1016%2fj.jclepro.2015.09.088&partnerID=40&md5=90ec2b869268ad3ec269fae3b8e5714e","This research creates knowledge that addresses gaps in developing sustainability and leadership education by leveraging action research and insider approaches to promote new generations of academics and practitioners. Research arose from student calls for stronger stewardship practice, humanitarian education, and progressive student leadership interested in promoting academic responsibility. Calls were met by constraints from University faculty for rigor. The research applied methodology involved mixed method action research philosophies, sustainability design tools (such as life cycle analysis), participatory and ethnographic exploration of education in the context of Front Range of Colorado, particularly with respect to socioeconomically challenged urban areas, described as two interacting vignettes. Simultaneously, challenges to the applied methodology as action research are framed. It was concluded that action to create more rigorous sustainability education and leadership outcomes is possible given development by mixed frameworks (e.g., via logic models) that can align with larger strategic efforts (e.g., United Nations Education Scientific and Cultural Organization's Global Action Programme). An outcome of this research was the development of a science technology engineering mathematics sustainability science station that is proposed to be a configurable educational resource. It was also concluded that interactions among academic leadership-administration, and professional societies play important roles in upholding student-focused social contracts to support leadership development. © 2015 Elsevier Ltd. All rights reserved.","Engineering education for sustainable development; Graduate student action research; Life cycle analysis; UAE grand challenges; UNESCO - GAP","Education; Education computing; Knowledge management; Life cycle; Philosophical aspects; Planning; Sustainable development; Action research; Education for sustainable development; Grand Challenge; Life cycle analysis; UNESCO - GAP; Students",Article,"All Open Access, Bronze",Scopus
"Lönngren J., Svanström M., Ingerman Å., Holmberg J.","Dealing with the multidimensionality of sustainability through the use of multiple perspectives – a theoretical framework",2016,"European Journal of Engineering Education","41","3",,"342","352",,11,"10.1080/03043797.2015.1079811","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941342866&doi=10.1080%2f03043797.2015.1079811&partnerID=40&md5=e5518d5eb89ba314e337107c5d8b1eaa","The concept of perspectives is important in discussions about the multidimensionality of sustainability problems and the need to consider many different aspects when dealing with them. This paper aims to facilitate discussions among both educators and researchers about didactical approaches to developing students’ abilities to deal with the multidimensionality of sustainability challenges through the use of multiple perspectives. For this purpose, a theoretical framework was developed that describes perspectives in terms of a set of general characteristics, as well as a number of ways in which students can develop and reflect on perspectives. Development of the framework was supported by a qualitative content analysis of transcripts from interviews with undergraduate engineering students in Sweden. © 2015 SEFI.","education for sustainable development; engineering education; holistic thinking; normative competence; perspectives; systems thinking","Education; Engineering education; Sustainable development; Education for sustainable development; Holistic thinking; normative competence; perspectives; Systems thinking; Students",Article,"",Scopus
"Arastoopour G., Shaffer D.W., Swiecki Z., Ruis A.R., Chesler N.C.","Teaching and assessing engineering design thinking with virtual internships and epistemic network analysis",2016,"International Journal of Engineering Education","32","3",,"1492","1501",,72,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974534195&partnerID=40&md5=62c15a05b90d51e93a6c718c49229211","An engineering workforce of sufficient size and quality is essential for addressing significant global challenges such as climate change, world hunger, and energy demand. Future generations of engineers will need to identify challenging issues and design innovative solutions. To prepare young people to solve big and increasingly global problems, researchers and educators need to understand how we can best educate young people to use engineering design thinking. In this paper, we explore virtual internships, online simulations of 21st-century engineering design practice, as one method for teaching engineering design thinking. To assess the engineering design thinking, we use epistemic network analysis (ENA), a tool for measuring complex thinking as it develops over time based on discourse analysis. The combination of virtual internships and ENA provides opportunities for students to engage in authentic engineering design, potentially receive concurrent feedback on their engineering design thinking, and develop the identity, values, and ways of thinking of professional engineers. © 2016 TEMPUS Publications.","Assessment; Design thinking; Engineering design; Learning sciences; Online learning; Virtual internship","Climate change; Complex networks; Design; E-learning; Human engineering; Systems thinking; Assessment; Design thinking; Engineering design; Learning science; Online learning; Virtual internship; Energy demands; Future generations; Global challenges; Young peoples; Engineering education; Virtual environments",Conference Paper,"",Scopus
"Ospino-Castro A., Silva-Ortega J.I., Muñoz-Maldonado Y., Candelo Becerra J.E., Mejia-Taboada M., Valencia-Ochoa G., Umaña-Ibañez S.","Innovation strategies to develop specific professional skills on photovoltaic systems using laboratory experience guides: Technologies and sustainability education",2016,"Espacios","37","29","10","","",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018193679&partnerID=40&md5=4716f0c48f3fe3535310fe73f0823cc9","The use of new strategies for develop professional skills on photovoltaic systems was designed as result of integrated cooperation between universities and research groups that work in the development of tools to implement an academic program for using solar energy. This paper covers the proposed outcomes that will be achieved during the application of activities, an introduction to the concepts that are considered, the methodological process that is applied, and activities that promote independent work by the students using experiences guide applying photovoltaic systems. There are used during the teaching process preliminary questions to assess the understanding of the concepts and objectives considered. As a result, students will design a final report to validate the outcomes completion. These strategies search the development of skill through courses, gaining as result a solid experience in research aimed to develop photovoltaic technologies as classroom activities in order to keep a sustainability of the program. This paper presents an example of a practice guide called ""Characterization of Photovoltaic Cell with Artificial Lighting and Natural Lighting"" in order to present the structure and explain the cognitive process, allowing the assimilation of knowledge. The strategies were designed to stimulate interaction with a real environment, with a focus on validating theories and models focusing on the application of photovoltaic systems including developmental educational model; for this reason, there are promoted new ideas for education in the area of photovoltaic systems considering the implementation of sustainable energy and increasing the scope of engineering education.","Independent work; Outcomes; Photovoltaic systems; Sustainability; Sustainable energy",,Article,"",Scopus
"Luisa Casado M., Lopez-Fernandez D., Lapuerta V.","Socio-emotional competencies in engineering education",2016,"International Journal of Engineering Education","32","4",,"1660","1678",,13,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992744196&partnerID=40&md5=e3418a528befeaf784a1a2d3e1751b7e","This paper gathers the research done from 2009 to 2014 in the context of a project consisting of several educational innovation projects carried out at the Technical University of Madrid (UPM) whose aim was to improve the socioemotional competencies of its students and professors, in line with some requirements of the European Higher Education Area such as ""preparing students for life as active citizens in a democratic society; preparing students for their future careers and enabling their personal development"". The promotion of these competencies in the engineering students can help them to optimize their academic achievement and to increase their competitiveness in the business world. Meanwhile, the socio-emotional development of the teachers can help them to create an atmosphere that supports student learning. The training techniques (online, blended and face-to-face seminars, and Coaching processes) and the outcome research methods (ad-hoc surveys and tests, pre-post evaluation using Emotional Intelligence evaluation tests) used in the five-year project are presented in this manuscript, as well as the results obtained from the 451 students and 135 professors from six engineering schools of the UPM who enrolled in the project. The benefits of these projects (a significant increase in the students' emotional quotient and in the professors' emotional skills have been achieved) and the sustainability of their activities (an emotional competencies development online classroom, accessible to the entire university community, has been launched) are highly encouraging. © 2016 TEMPUS Publications.","Coaching; Emotional competencies; Emotional intelligence; Transversal competencies","Competition; Education; Personnel training; Teaching; Emotional intelligence; Engineering education; Social psychology; Academic achievements; Coaching; Educational innovations; Emotional competencies; Emotional intelligence; European Higher Education Area; Technical universities; Transversal competencies; Emotional competency; Innovation programs; Personal development; Transversal competency; Students",Article,"",Scopus
"Yusof K.M., Sadikin A.N., Phang F.A., Aziz A.A., Sr.","Instilling professional skills and sustainable development through problem-based learning (PBL) among first year engineering students",2016,"International Journal of Engineering Education","32","1",,"333","347",,44,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959336132&partnerID=40&md5=7e53b5ddde402a10220b063804ecba6b","Developing sustainable development (SD) mindset and professional skills, such as problem solving, team working and communication skills, are crucial for engineering graduates of the 21st Century. Cooperative Problem Based Learning (CPBL), which is the infusion of Cooperative Learning (CL) principles into the Problem-Based Learning (PBL) cycle, had been shown to enhance learning while developing the desired professional skills and positive behavior. This paper describes a mixed method study on the impact of an Introduction to Engineering course on first year students as they go through three cycles ofCPBLto solve a sustainability related problem. In the first part of the research, anexploratory studywas conducted by analyzing reflective journals submitted by the students at the end of each CPBL cycle using thematic qualitative data analysis technique to determine the major themes in skills developed. The analysis show strong emergence of professional skills and SD. To determine the level of behavior change in SD for students who took the course, a quantitative study was then conducted. Although the students initially faced difficulties in developing the skills, by the end of the third stage, the students realized that they have managed to attain important skills and SD behavior essential as engineers of the future. © 2016 TEMPUS Publications.","Cooperative learning; Problem-based learning; Professional skills; Reflective journals; Sustainable development","Education; Engineering education; Planning; Professional aspects; Students; Sustainable development; Cooperative learning; Cooperative problem-based learning; First-year engineering; Introduction to engineering course; Problem based learning; Professional skills; Qualitative data analysis; Reflective journals; Learning cycle; Problem solving teams; Team communication; Team working; Problem solving; Sustainable development goals",Conference Paper,"",Scopus
"Brogan D.S., Mcdonald W.M., Lohani V.K., Dymond R.L., Bradner A.J.","Development and classroom implementation of an environmental data creation and sharing tool",2016,"Advances in Engineering Education","5","2",,"","",34,15,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976321274&partnerID=40&md5=8a678ccc437b97847b463fbe660a5131","Education is essential for solving the complex water-related challenges facing society. The Learning Enhanced Watershed Assessment System (LEWAS) and the Online Watershed Learning System (OWLS) provide data creation and data sharing infrastructures, respectively, that combine to form an environmental learning tool. This system collects, integrates and stores real-time, high-frequency environmental monitoring data and imagery from a small urbanized watershed and makes it available to users at anytime from anywhere they have internet access. This paper discusses both the developmental and maintenance challenges associated with the LEWAS and the design details of the OWLS. A pilot test of the OWLS was implemented in a senior level hydrology course as a part of an NSF funded project. Results indicate that 80% of students (n = 30) valued the anywhere, anytime access to the data and 97% of students believed that access to the OWLS helped them to learn hydrologic concepts. A similar pilot test implemented in a community college freshman engineering course as part of the same project indicates that students (n=27) who used the OWLS felt that the OWLS assignment was valuable and relevant to their coursework even when their academic performance was underwhelming (40% correct on multiple choice questions). Future plans to expand the scope of the LEWAS-OWLS to cover environmental data from other geographical regions are discussed.","Online learning systems; Real-time monitoring operational challenges; Water sustainability education","Birds; E-learning; Education; Geographical regions; Learning systems; Monitoring; Online systems; Real time systems; Sustainable development; Teaching; Watersheds; Classroom implementation; Data sharing infrastructure; Environmental Monitoring; Freshman engineering course; Multiple choice questions; On-line learning systems; Operational challenges; Water sustainability; Students",Article,"",Scopus
"Lantada A.D., Munoz-Guijosa J.M., Tanarro E.C., Otero J.E., Sanz J.L.M.","Engineering education for all: Strategies and challenges",2016,"International Journal of Engineering Education","32","5",,"2155","2171",,15,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992549176&partnerID=40&md5=698a9466155aa2439c860f67f58bcd21","The path to the future requires the best possible trained engineers for further developing and mentoring the technological advances that are reshaping the present. Such advances may be the keys for facing the challenges ahead, including the population outgrowth, the climate changes and a global need for sustainability and responsible management, which probably will not come from traditional politics, but from people capable of building bridges between the mentioned advances and of handling them ethically. All this brings us to the topic of ""Engineering Education for All"". If the ""engineers of the future"" aretobe key playersinsolving current challenges of Mankind, wewill need the most talented and motivated ones, regardless of their social background and economical status. In this study we try to methodically analyze the main strategies for the promotion of ""Engineering Education for All"", mainly linked to actuations which directly affect students or teachers (and teaching methodologies) and which take advantage of the environment and available resources. From an initial list of 60 strategies, we focus on the 10 drivers of change considered more important after an initial evaluation. Subsequently, a systematic analysis of the typical problems linkedt ot hese main drivers of change, ena bles us to find and formulate 10 major and unsolved problems. After selecting these typical problems, we put forward 24 different solutions, for short-term actuation, and discuss their effects, while bearing inmind our team's experience, together with the information from the studies carried out by numerous colleagues. © 2016 TEMPUS Publications.","Continuous improvement strategies; Education for all; Engineering education","Climate change; Education; Sustainable development; Teaching; Engineering education; Continuous improvements; Short term; Systematic analysis; Teaching methodologies; Technological advances; Unsolved problems; 'current; Continuous improvement strategy; Education for all; Improvement strategies; Teachers'; Engineering education; Climate change",Article,"",Scopus
"Fleischmann C.M.","Sustaining Undergraduate Sustainability Education",2016,"Geotechnical Special Publication","2016-January","273 GSP",,"655","663",,1,"10.1061/9780784480168.064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985025960&doi=10.1061%2f9780784480168.064&partnerID=40&md5=a7a62d36ad639a821ffdf07e407fe01a","The importance of educating future generations of engineers with respect to sustainability is becoming increasingly obvious. At the U.S. Coast Guard Academy (CGA), the engineering faculty recognize the need to educate the future of our service and have developed a variety of classroom approaches to ensure students fully understand the role that climate change and sustainability play in their engineering decision making process. As a sea-going service, most of the U.S. Coast Guard (USCG)'s assets are along coastline. As the USCG's primary civil engineering accession point, ensuring future engineers are exposed to the potential challenges that may arise due to rising sea level, predicted water shortages and changes in the availability of energy resources is an issue of readiness. Concepts of sustainability have necessarily been infused into CGA's undergraduate engineering curriculum. The manner in which sustainability has been taught in several undergraduate courses within the civil engineering program at CGA is discussed. Teaching methods utilizing various pedagogies have been employed to ensure that graduates understand the complexity of the issues surrounding the ecological changes facing the planet while also providing a solid understanding of the practices of sustainability and the need for the education of future generations on the topic. © ASCE.",,"Climate change; Curricula; Decision making; Ecology; Energy resources; Sea level; Students; Sustainable development; Teaching; Waste management; Civil engineering programs; Ecological changes; Engineering decision making; Engineering faculty; Future generations; Sustainability education; Undergraduate Courses; Undergraduate engineering; Education",Conference Paper,"",Scopus
"Björnberg K.E., Skogh I.-B., Strömberg E.","Integrating social sustainability in engineering education at the KTH Royal Institute of Technology",2015,"International Journal of Sustainability in Higher Education","16","5",,"639","649",,61,"10.1108/IJSHE-01-2014-0010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938375596&doi=10.1108%2fIJSHE-01-2014-0010&partnerID=40&md5=6a3b84a249dcb898a8c78bb36ca8b22f","Purpose – The purpose of this paper is to investigate what are perceived to be the main challenges associated with the integration of social sustainability into engineering education at the KTH Royal Institute of Technology, Stockholm. Design/methodology/approach – Semi-structured interviews were conducted with programme leaders and teachers from four engineering programmes. The paper focuses on how the concept of social sustainability is defined and operationalised in the selected engineering programmes, how social sustainability is integrated and taught, and what resources are required to support teachers and programme leaders as social sustainability educators. Findings – The findings show that programme leaders and teachers at KTH struggle to understand the concept of social sustainability. The vague and value-laden nature of the concept is considered a challenge when operationalising educational policy goals on social sustainability into effective learning outcomes and activities. A consequence is that the responsibility for lesson content ultimately falls on the individual teacher. Study visits and role-play are seen as the most effective tools when integrating social sustainability into the engineering curriculum. Allocation of specific resources including supplementary sustainability training for teachers and economic incentives are considered crucial to successful integration of social sustainability. The findings indicate that social sustainability education needs to be built on a theoretical foundation. It is therefore suggested that a literature canon be established that clarifies the contours of social sustainability. Practical implications – The findings of the paper can be used as a basis for discussion regarding measures for improving social sustainability training in engineering education, a subject which has attracted relatively little attention, to date. Originality/value – There is a noticeable lack of empirical research on how technical universities integrate social sustainability into engineering education. The paper provides an account of how actors directly involved in this work – programme leaders and teachers – define and operationalise the social dimension of sustainable development in their engineering curricula, the pedagogical tools they consider effective when teaching social sustainability issues to engineering students, and the resources they believe are needed to strengthen those efforts. © 2015 Emerald Group Publishing Limited.","Curriculum design; Engineering education; Integration; Social sustainability; Sustainable development",,Article,"",Scopus
